주차장명,주차대수,date,month,year,요일,평균기온(°C),최저기온(°C),최고기온(°C),평균 상대습도(%),면수,일반이용자(아침),일반이용자(낮),일반이용자(저녁),day,주차대수(아침),주차대수(낮),주차대수(저녁)
5,229,2024-11-10,11,2024,주말,14.4,10.3,21.0,64.0,217,3345.0550000000003,39709.03999999999,55748.347499999996,10,75.57000000000001,75.57000000000001,75.57000000000001
2,1934,2024-11-10,11,2024,주말,14.4,10.3,21.0,64.0,171,3345.0550000000003,39709.03999999999,55748.347499999996,10,135.38000000000002,1295.78,483.5
1,3398,2024-11-10,11,2024,주말,14.4,10.3,21.0,64.0,462,3345.0550000000003,39709.03999999999,55748.347499999996,10,237.86,2276.6600000000003,849.5
4,41,2024-11-10,11,2024,주말,14.4,10.3,21.0,64.0,141,3345.0550000000003,39709.03999999999,55748.347499999996,10,13.530000000000001,13.530000000000001,13.530000000000001
3,2326,2024-11-10,11,2024,주말,14.4,10.3,21.0,64.0,800,3345.0550000000003,39709.03999999999,55748.347499999996,10,162.82000000000002,1558.42,581.5
3,1209,2024-11-09,11,2024,주말,12.9,6.8,20.3,55.8,800,3345.0550000000003,39709.03999999999,55748.347499999996,9,84.63000000000001,810.0300000000001,302.25
2,1648,2024-11-09,11,2024,주말,12.9,6.8,20.3,55.8,171,3345.0550000000003,39709.03999999999,55748.347499999996,9,115.36000000000001,1104.16,412.0
5,210,2024-11-09,11,2024,주말,12.9,6.8,20.3,55.8,217,3345.0550000000003,39709.03999999999,55748.347499999996,9,69.3,69.3,69.3
4,48,2024-11-09,11,2024,주말,12.9,6.8,20.3,55.8,141,3345.0550000000003,39709.03999999999,55748.347499999996,9,15.84,15.84,15.84
1,3229,2024-11-09,11,2024,주말,12.9,6.8,20.3,55.8,462,3345.0550000000003,39709.03999999999,55748.347499999996,9,226.03000000000003,2163.4300000000003,807.25
2,1385,2024-11-08,11,2024,금요일,10.2,3.1,18.1,50.8,171,3515.3999999999996,41731.2,58587.299999999996,8,387.8,623.25,373.95000000000005
5,396,2024-11-08,11,2024,금요일,10.2,3.1,18.1,50.8,217,3515.3999999999996,41731.2,58587.299999999996,8,265.32,99.0,27.720000000000002
