지점명,일자,방향,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
마포대교,20220301,유출,722.0,533.0,365.0,304.0,349.0,540.0,974.0,1176.0,1192.0,1464.0,2019.0,2200.0,2356.0,2357.0,2405.0,2570.0,2795.0,2481.0,2324.0,2256.0,2017.0,1763.0,1320.0,734.0
마포대교,20220302,유출,394.0,322.0,221.0,229.0,331.0,950.0,2141.0,3435.0,3981.0,2894.0,2694.0,2808.0,2455.0,2690.0,2911.0,2898.0,3196.0,3404.0,3308.0,3472.0,2445.0,2185.0,1806.0,918.0
마포대교,20220303,유출,625.0,423.0,366.0,359.0,481.0,816.0,1989.0,3423.0,3635.0,2987.0,2386.0,2481.0,2367.0,2676.0,2719.0,2707.0,2916.0,3296.0,3493.0,3505.0,2554.0,2440.0,1990.0,1080.0
마포대교,20220304,유출,670.0,466.0,375.0,307.0,503.0,858.0,2236.0,3472.0,3413.0,2855.0,2461.0,2527.0,2546.0,2869.0,2635.0,2940.0,3274.0,3447.0,3363.0,3339.0,2753.0,2394.0,2207.0,1096.0
마포대교,20220305,유출,679.0,433.0,434.0,347.0,427.0,804.0,1198.0,1111.0,1642.0,1983.0,2386.0,2683.0,2748.0,2835.0,3007.0,2918.0,3051.0,3523.0,2908.0,2613.0,2173.0,1826.0,1465.0,935.0
마포대교,20220306,유출,579.0,399.0,303.0,193.0,209.0,397.0,736.0,739.0,1190.0,1377.0,1991.0,2134.0,2595.0,2799.0,2580.0,2400.0,2305.0,2346.0,2129.0,2016.0,1727.0,1516.0,1094.0,665.0
마포대교,20220307,유출,436.0,289.0,214.0,216.0,330.0,901.0,2241.0,3591.0,3688.0,2742.0,2411.0,2185.0,2103.0,2423.0,2361.0,2805.0,3230.0,3097.0,3368.0,3042.0,2315.0,2010.0,1668.0,1064.0
마포대교,20220308,유출,691.0,449.0,345.0,266.0,379.0,859.0,1945.0,3427.0,3510.0,2873.0,2504.0,2416.0,2300.0,2816.0,2911.0,3170.0,3311.0,3458.0,3637.0,3530.0,2667.0,2446.0,2129.0,1339.0
마포대교,20220309,유출,767.0,488.0,371.0,353.0,466.0,572.0,897.0,884.0,1055.0,1519.0,1907.0,2173.0,2171.0,2315.0,2429.0,2531.0,2669.0,2390.0,2012.0,1796.0,1734.0,1601.0,1178.0,761.0
마포대교,20220310,유출,415.0,392.0,398.0,347.0,476.0,878.0,1983.0,3450.0,3609.0,2816.0,2550.0,2581.0,2230.0,2657.0,2622.0,2886.0,3226.0,3264.0,3063.0,3075.0,2418.0,2177.0,1802.0,1166.0
마포대교,20220311,유출,650.0,469.0,298.0,312.0,407.0,765.0,1921.0,3334.0,3549.0,2766.0,2583.0,2639.0,2595.0,2706.0,2720.0,2999.0,3206.0,3258.0,3301.0,3288.0,2949.0,2379.0,2053.0,1377.0
마포대교,20220312,유출,843.0,519.0,456.0,294.0,299.0,646.0,1000.0,1122.0,1471.0,1888.0,2474.0,2775.0,2824.0,2829.0,3038.0,3046.0,3195.0,3204.0,2904.0,2473.0,1981.0,1656.0,1423.0,911.0
마포대교,20220313,유출,740.0,427.0,351.0,197.0,178.0,360.0,686.0,882.0,1012.0,1222.0,1908.0,1981.0,2329.0,2407.0,2383.0,2328.0,2201.0,1957.0,1754.0,1817.0,1772.0,1427.0,1088.0,661.0
마포대교,20220314,유출,368.0,296.0,225.0,209.0,377.0,847.0,2229.0,3467.0,3655.0,2805.0,2390.0,2379.0,2513.0,3021.0,2932.0,3139.0,3349.0,3254.0,3567.0,3225.0,2440.0,2159.0,1742.0,1083.0
마포대교,20220315,유출,709.0,390.0,299.0,264.0,389.0,809.0,1791.0,3412.0,3556.0,2899.0,2418.0,2389.0,2228.0,2521.0,2500.0,2735.0,3120.0,3439.0,3159.0,3214.0,2392.0,2213.0,1876.0,1088.0
마포대교,20220316,유출,634.0,424.0,327.0,276.0,395.0,767.0,1894.0,3249.0,3584.0,2838.0,2508.0,2513.0,2346.0,2530.0,2554.0,2715.0,3001.0,3345.0,3270.0,3072.0,2504.0,2151.0,1925.0,1228.0
마포대교,20220317,유출,783.0,512.0,379.0,288.0,409.0,843.0,1932.0,3366.0,3475.0,2915.0,2433.0,2367.0,2269.0,2540.0,2391.0,2802.0,3187.0,3434.0,3541.0,3242.0,2259.0,2301.0,1802.0,1070.0
마포대교,20220318,유출,726.0,479.0,311.0,274.0,399.0,840.0,1773.0,3274.0,3394.0,2872.0,2573.0,2513.0,2417.0,2673.0,2671.0,2860.0,3262.0,3390.0,3347.0,3383.0,2501.0,2248.0,1982.0,1323.0
마포대교,20220319,유출,815.0,579.0,437.0,324.0,350.0,585.0,1092.0,1359.0,1712.0,2077.0,2478.0,2652.0,2698.0,2693.0,2839.0,2645.0,3006.0,2779.0,2323.0,2179.0,1955.0,1694.0,1319.0,961.0
마포대교,20220320,유출,577.0,385.0,287.0,196.0,214.0,433.0,627.0,663.0,926.0,1281.0,1971.0,2158.0,2382.0,2668.0,2584.0,2638.0,2617.0,2362.0,1984.0,2025.0,1861.0,1545.0,1216.0,757.0
마포대교,20220321,유출,507.0,264.0,206.0,228.0,345.0,852.0,1937.0,3486.0,3743.0,2904.0,2385.0,2355.0,2244.0,2491.0,2711.0,2714.0,3168.0,3337.0,3468.0,3138.0,2459.0,2131.0,1687.0,1084.0
마포대교,20220322,유출,672.0,428.0,286.0,278.0,406.0,873.0,1759.0,3514.0,3638.0,2938.0,2582.0,2399.0,2393.0,2795.0,2698.0,2931.0,3350.0,3390.0,3663.0,3463.0,2558.0,2268.0,1889.0,1180.0
마포대교,20220323,유출,705.0,404.0,337.0,263.0,420.0,811.0,1923.0,3358.0,3583.0,2960.0,2452.0,2503.0,2436.0,2557.0,2603.0,2850.0,3220.0,3435.0,3303.0,3093.0,2451.0,2305.0,1910.0,1156.0
마포대교,20220324,유출,674.0,450.0,325.0,270.0,409.0,837.0,1736.0,3441.0,3631.0,2862.0,2490.0,2495.0,2331.0,2544.0,2660.0,2772.0,3041.0,3211.0,2819.0,3070.0,2644.0,2254.0,2020.0,1334.0
마포대교,20220325,유출,682.0,469.0,355.0,315.0,413.0,797.0,1640.0,3372.0,3566.0,2939.0,2530.0,2586.0,2533.0,2764.0,2687.0,3076.0,3427.0,3643.0,3451.0,3387.0,3096.0,2703.0,2538.0,1721.0
마포대교,20220326,유출,956.0,540.0,387.0,270.0,265.0,595.0,1074.0,1450.0,1681.0,2004.0,2384.0,2460.0,2812.0,3112.0,3132.0,2598.0,3096.0,3159.0,2656.0,2520.0,2301.0,2041.0,1502.0,1102.0
마포대교,20220327,유출,604.0,361.0,272.0,225.0,200.0,404.0,630.0,723.0,994.0,1376.0,1981.0,2227.0,2754.0,2685.0,2635.0,2744.0,2855.0,3160.0,2320.0,2310.0,2107.0,1901.0,1398.0,726.0
