지점명,일자,방향,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
원효대교,20220301,유출,262.0,187.0,120.0,100.0,77.0,134.0,218.0,418.0,431.0,536.0,735.0,763.0,931.0,1002.0,1104.0,1178.0,1275.0,1048.0,859.0,552.0,503.0,456.0,391.0,208.0
원효대교,20220302,유출,141.0,78.0,69.0,59.0,88.0,189.0,474.0,1338.0,1432.0,953.0,972.0,1115.0,1084.0,1259.0,1321.0,1373.0,1565.0,1580.0,1637.0,962.0,719.0,599.0,506.0,275.0
원효대교,20220303,유출,180.0,137.0,113.0,73.0,94.0,161.0,460.0,1334.0,1355.0,972.0,1013.0,1104.0,1062.0,1221.0,1378.0,1451.0,1646.0,1762.0,1542.0,1158.0,746.0,723.0,572.0,297.0
원효대교,20220304,유출,235.0,139.0,89.0,91.0,90.0,198.0,501.0,1379.0,1479.0,1066.0,1029.0,1170.0,1186.0,1212.0,1201.0,1323.0,1567.0,1666.0,1588.0,851.0,624.0,620.0,487.0,290.0
원효대교,20220305,유출,219.0,164.0,127.0,87.0,92.0,127.0,228.0,522.0,657.0,669.0,843.0,961.0,1052.0,1110.0,1198.0,1334.0,1390.0,1255.0,997.0,683.0,563.0,481.0,494.0,353.0
원효대교,20220306,유출,220.0,172.0,93.0,67.0,70.0,92.0,163.0,306.0,451.0,546.0,676.0,743.0,952.0,964.0,1086.0,1143.0,1126.0,1081.0,875.0,566.0,555.0,448.0,348.0,229.0
원효대교,20220307,유출,172.0,85.0,67.0,62.0,95.0,200.0,527.0,1442.0,1421.0,974.0,1053.0,1144.0,1103.0,1188.0,1293.0,1392.0,1543.0,1630.0,1480.0,902.0,680.0,592.0,444.0,288.0
원효대교,20220308,유출,213.0,154.0,114.0,86.0,96.0,202.0,456.0,1344.0,1395.0,1052.0,1003.0,1132.0,1100.0,1248.0,1342.0,1241.0,1607.0,1656.0,1674.0,900.0,713.0,594.0,529.0,363.0
원효대교,20220309,유출,228.0,184.0,123.0,99.0,99.0,102.0,229.0,430.0,462.0,583.0,648.0,809.0,927.0,901.0,1094.0,1049.0,1173.0,1026.0,796.0,478.0,432.0,403.0,317.0,211.0
원효대교,20220310,유출,142.0,100.0,83.0,56.0,90.0,195.0,470.0,1389.0,1337.0,896.0,1000.0,1075.0,1113.0,1149.0,1231.0,1393.0,1491.0,1606.0,1558.0,945.0,638.0,620.0,449.0,344.0
원효대교,20220311,유출,187.0,135.0,105.0,77.0,89.0,144.0,495.0,1249.0,1420.0,991.0,1093.0,1091.0,1101.0,1206.0,1196.0,1325.0,1553.0,1615.0,1583.0,871.0,633.0,609.0,556.0,374.0
원효대교,20220312,유출,257.0,193.0,133.0,91.0,83.0,99.0,273.0,471.0,663.0,767.0,874.0,931.0,1031.0,1119.0,1193.0,1152.0,1240.0,1061.0,763.0,343.0,407.0,421.0,373.0,244.0
원효대교,20220313,유출,91.0,106.0,60.0,43.0,41.0,38.0,103.0,267.0,340.0,429.0,634.0,687.0,793.0,780.0,916.0,938.0,936.0,863.0,618.0,286.0,289.0,239.0,171.0,119.0
원효대교,20220314,유출,106.0,58.0,33.0,36.0,45.0,130.0,464.0,1345.0,1364.0,984.0,1010.0,1064.0,902.0,1033.0,948.0,1091.0,1281.0,1453.0,1400.0,815.0,529.0,502.0,373.0,221.0
