날짜,승객유형,승차인원,환승유입인원
2023-01-01,일반,4627,3003
2023-01-01,어린이,63,36
2023-01-01,중고생,1,1
2023-01-01,청소년,182,92
2023-01-01,우대권,678,323
2023-01-01,직원,95,10
2023-01-01,영어 일반,7,2
2023-01-01,중국어 일반,0,2
2023-01-01,영어 어린이,1,0
2023-01-02,일반,10684,6030
2023-01-02,어린이,37,26
2023-01-02,청소년,163,91
2023-01-02,우대권,1169,608
2023-01-02,직원,151,14
2023-01-02,영어 일반,7,3
2023-01-02,중국어 일반,4,3
2023-01-02,영어 어린이,2,2
2023-01-02,중국어 어린이,1,1
2023-01-03,일반,12427,6999
2023-01-03,어린이,52,32
2023-01-03,중고생,0,1
2023-01-03,청소년,159,92
2023-01-03,우대권,1333,716
2023-01-03,직원,133,18
2023-01-03,영어 일반,0,2
2023-01-03,일어 일반,1,0
2023-01-03,중국어 일반,1,0
2023-01-03,영어 어린이,0,1
2023-01-03,일어 어린이,1,0
2023-01-04,일반,11870,6638
2023-01-04,어린이,60,33
2023-01-04,청소년,160,107
2023-01-04,우대권,1351,737
2023-01-04,직원,129,17
2023-01-04,영어 일반,4,4
2023-01-04,영어 어린이,2,1
2023-01-05,일반,12074,6566
2023-01-05,어린이,53,45
2023-01-05,청소년,258,145
2023-01-05,우대권,1422,748
2023-01-05,직원,120,11
2023-01-05,영어 일반,9,0
2023-01-05,영어 어린이,3,0
2023-01-06,일반,12863,7099
2023-01-06,어린이,90,48
2023-01-06,청소년,219,114
2023-01-06,우대권,1402,799
2023-01-06,직원,147,19
2023-01-06,영어 일반,2,1
2023-01-06,중국어 일반,3,3
2023-01-07,일반,11752,6972
2023-01-07,어린이,116,68
2023-01-07,중고생,1,0
2023-01-07,청소년,368,191
2023-01-07,우대권,967,504
2023-01-07,직원,89,18
2023-01-07,중국어 일반,1,0
2023-01-07,영어 어린이,0,1
2023-01-08,일반,6697,4103
2023-01-08,어린이,97,48
2023-01-08,중고생,1,0
2023-01-08,청소년,280,169
2023-01-08,우대권,917,489
2023-01-08,직원,89,11
2023-01-08,영어 일반,2,0
2023-01-08,일어 일반,2,0
2023-01-08,중국어 일반,2,0
2023-01-09,일반,11477,6364
2023-01-09,어린이,67,61
2023-01-09,중고생,1,0
2023-01-09,청소년,378,260
2023-01-09,우대권,1426,734
2023-01-09,직원,129,8
2023-01-09,영어 일반,1,2
2023-01-09,중국어 일반,3,1
2023-01-09,영어 어린이,2,0
2023-01-10,일반,11932,6516
2023-01-10,어린이,95,63
2023-01-10,중고생,1,1
2023-01-10,청소년,255,148
2023-01-10,우대권,1472,788
2023-01-10,직원,140,14
2023-01-10,중국어 일반,2,0
2023-01-10,일어 어린이,0,1
2023-01-11,일반,11979,6530
2023-01-11,어린이,80,48
2023-01-11,중고생,0,0
2023-01-11,청소년,338,218
2023-01-11,우대권,1499,790
2023-01-11,직원,134,16
2023-01-11,영어 일반,1,1
2023-01-11,일어 일반,1,0
2023-01-11,중국어 일반,1,1
2023-01-12,일반,11929,6408
2023-01-12,어린이,115,74
2023-01-12,중고생,1,1
2023-01-12,청소년,318,185
2023-01-12,우대권,1533,817
2023-01-12,직원,128,19
2023-01-12,영어 일반,3,2
2023-01-12,중국어 일반,2,0
2023-01-13,일반,11536,6108
2023-01-13,어린이,48,21
2023-01-13,청소년,267,128
2023-01-13,우대권,1277,694
2023-01-13,직원,135,25
2023-01-13,중국어 일반,0,1
2023-01-14,일반,7472,4090
2023-01-14,어린이,96,64
2023-01-14,중고생,1,1
2023-01-14,청소년,247,121
2023-01-14,우대권,994,484
2023-01-14,직원,97,11
2023-01-14,영어 일반,4,1
2023-01-14,중국어 일반,0,0
2023-01-15,일반,5713,3234
2023-01-15,어린이,68,34
2023-01-15,중고생,0,1
2023-01-15,청소년,207,99
2023-01-15,우대권,760,425
2023-01-15,직원,95,14
2023-01-15,영어 일반,0,0
2023-01-16,일반,11272,5942
2023-01-16,어린이,48,28
2023-01-16,중고생,1,1
2023-01-16,청소년,351,220
2023-01-16,우대권,1421,754
2023-01-16,직원,144,21
2023-01-16,영어 일반,0,1
2023-01-16,중국어 일반,2,1
2023-01-17,일반,11681,6281
2023-01-17,어린이,60,33
2023-01-17,중고생,6,5
2023-01-17,청소년,336,199
2023-01-17,우대권,1607,848
2023-01-17,직원,132,12
2023-01-17,영어 일반,2,1
2023-01-18,일반,11810,6259
2023-01-18,어린이,99,80
2023-01-18,중고생,2,3
2023-01-18,청소년,396,264
2023-01-18,우대권,1516,817
2023-01-18,직원,156,20
2023-01-18,영어 일반,3,0
2023-01-18,중국어 일반,3,2
2023-01-18,영어 어린이,1,0
2023-01-19,일반,11873,6201
2023-01-19,어린이,78,38
2023-01-19,중고생,2,2
2023-01-19,청소년,333,190
2023-01-19,우대권,1429,738
2023-01-19,직원,161,17
2023-01-19,중국어 일반,1,0
2023-01-19,중국어 어린이,0,0
2023-01-20,일반,11198,5434
2023-01-20,어린이,67,38
2023-01-20,중고생,1,1
2023-01-20,청소년,236,114
2023-01-20,우대권,1205,604
2023-01-20,직원,146,17
2023-01-20,영어 일반,0,1
2023-01-20,중국어 일반,2,0
2023-01-20,중국어 어린이,1,1
2023-01-21,일반,4800,1862
2023-01-21,어린이,61,32
2023-01-21,중고생,0,0
2023-01-21,청소년,138,78
2023-01-21,우대권,544,241
2023-01-21,직원,75,11
2023-01-21,영어 일반,1,3
2023-01-21,일어 일반,0,0
2023-01-21,중국어 어린이,0,2
2023-01-22,일반,3412,2024
2023-01-22,어린이,78,44
2023-01-22,중고생,1,0
2023-01-22,청소년,136,86
2023-01-22,우대권,503,254
2023-01-22,직원,55,7
2023-01-22,영어 일반,1,1
2023-01-22,중국어 일반,6,4
2023-01-22,중국어 어린이,5,3
2023-01-23,일반,3619,2526
2023-01-23,어린이,123,82
2023-01-23,중고생,0,1
2023-01-23,청소년,107,76
2023-01-23,우대권,636,304
2023-01-23,직원,66,7
2023-01-23,영어 일반,6,6
2023-01-23,중국어 일반,4,2
2023-01-23,중국어 어린이,1,1
2023-01-24,일반,3427,2546
2023-01-24,어린이,12,14
2023-01-24,중고생,1,1
2023-01-24,청소년,126,70
2023-01-24,우대권,470,251
2023-01-24,직원,80,11
2023-01-24,영어 일반,4,0
2023-01-24,중국어 일반,2,3
2023-01-24,영어 어린이,1,0
2023-01-24,중국어 어린이,1,1
2023-01-25,일반,9793,5515
2023-01-25,어린이,39,16
2023-01-25,중고생,2,1
2023-01-25,청소년,154,101
2023-01-25,우대권,1082,565
2023-01-25,직원,136,14
2023-01-25,영어 일반,0,3
2023-01-25,영어 어린이,1,2
2023-01-26,일반,11576,6357
2023-01-26,어린이,68,38
2023-01-26,중고생,1,1
2023-01-26,청소년,202,117
2023-01-26,우대권,1346,766
2023-01-26,직원,161,20
2023-01-26,영어 일반,4,3
2023-01-26,중국어 일반,7,4
2023-01-26,영어 어린이,1,2
2023-01-26,중국어 어린이,4,4
2023-01-27,일반,11890,6493
2023-01-27,어린이,51,33
2023-01-27,중고생,2,2
2023-01-27,청소년,272,153
2023-01-27,우대권,1425,809
2023-01-27,직원,132,11
2023-01-27,영어 일반,7,5
2023-01-27,중국어 일반,6,4
2023-01-27,영어 어린이,3,1
2023-01-27,중국어 어린이,3,3
2023-01-28,일반,7881,4630
2023-01-28,어린이,151,84
2023-01-28,중고생,2,1
2023-01-28,청소년,223,148
2023-01-28,우대권,1041,561
2023-01-28,직원,89,12
2023-01-28,영어 일반,2,0
2023-01-28,중국어 일반,2,3
2023-01-28,중국어 어린이,1,2
2023-01-29,일반,5776,3214
2023-01-29,어린이,90,53
2023-01-29,중고생,1,1
2023-01-29,청소년,237,142
2023-01-29,우대권,898,464
2023-01-29,직원,88,22
2023-01-29,영어 일반,3,2
2023-01-29,중국어 일반,2,2
2023-01-29,영어 어린이,2,2
2023-01-29,중국어 어린이,3,3
2023-01-30,일반,11131,6050
2023-01-30,어린이,50,18
2023-01-30,중고생,2,1
2023-01-30,청소년,284,205
2023-01-30,우대권,1513,812
2023-01-30,직원,163,20
2023-01-30,영어 일반,1,0
2023-01-30,중국어 일반,11,6
2023-01-30,영어 어린이,0,1
2023-01-30,중국어 어린이,4,1
2023-01-31,일반,11264,6216
2023-01-31,어린이,66,39
2023-01-31,중고생,3,2
2023-01-31,청소년,259,183
2023-01-31,우대권,1534,824
2023-01-31,직원,104,14
2023-01-31,영어 일반,0,0
2023-01-31,중국어 일반,1,0
2023-01-31,중국어 어린이,1,1
2023-02-01,일반,11475,6238
2023-02-01,어린이,51,40
2023-02-01,중고생,1,1
